,id,price,addressStreet,addressCity,addressZipcode,beds,baths,area,zestimate,latitude,longitude
0,16947731,1499000.0,5232 Cromwell Ct,San Diego,92116,3,2.0,1198,1470500.0,32.77459,-117.118675
1,19698482,998888.0,1398 Boysea Dr,San Jose,95118,3,2.0,1180,,37.26023,-121.88942
2,20032553,1399000.0,3969 Alta Mesa Dr,Studio City,91604,3,2.0,1200,1393700.0,34.133926,-118.40866
3,99586844,939999.0,1671 Joshua Tree Ln,Fallbrook,92028,3,3.0,2055,937200.0,33.36072,-117.22366
4,448287886,699000.0,3927 Aqua Vista St,Oakland,94601,4,3.0,2369,696800.0,37.78256,-122.20882
5,20039427,899000.0,6339 Riverton Ave,North Hollywood,91606,3,3.0,1528,,34.18602,-118.36627
6,17940983,399999.0,21638 Grand Ave,Wildomar,92595,3,2.0,1645,,33.59703,-117.276436
7,19885684,1425000.0,26004 Trana Cir,Calabasas,91302,4,3.0,2472,,34.16403,-118.69447
8,15719691,615000.0,913 Mustang Trl,Vacaville,95687,3,2.0,1633,612600.0,38.320114,-121.96477
9,20930284,579999.0,205 E 64th St,Los Angeles,90003,3,2.0,1500,585700.0,33.981518,-118.26832
10,19942168,1099000.0,20955 De Mina St,Woodland Hills,91364,4,3.0,1766,,34.161377,-118.59025
11,20800737,3198000.0,2145 Sunset Crest Dr,Los Angeles,90046,3,3.0,2341,3096800.0,34.11057,-118.39002
12,17995730,825000.0,26675 Ironwood Ave,Moreno Valley,92555,5,3.0,2603,,33.94666,-117.19278
13,17867200,699999.0,4940 Via Campeche,Riverside,92507,4,2.0,2170,698300.0,33.960697,-117.33943
14,17416875,375000.0,24293 Horst Dr,Crestline,92325,2,2.0,1440,372800.0,34.240597,-117.26871
15,82830372,724999.0,7062 Hawthorn Ave APT 101,Los Angeles,90028,2,2.0,1220,719800.0,34.100014,-118.34367
16,113358975,620000.0,6002 Dartmoor Wood Ave,Bakersfield,93314,4,2.0,2357,619600.0,35.41422,-119.14593
17,20383717,4195000.0,8363 Stewart Ave,Los Angeles,90045,5,7.0,4050,4135200.0,33.961372,-118.40763
18,17475853,585000.0,16457 Viho Rd,Apple Valley,92307,4,3.0,2573,584700.0,34.550713,-117.26926
19,52498038,400000.0,22453 Aloha Rd,Perris,92570,4,3.0,2569,396300.0,33.79108,-117.27135
20,18150646,915000.0,51991 Avenida Morales,La Quinta,92253,3,2.0,1272,890500.0,33.670834,-116.319435
21,456632648,2049000.0,111 Linda Vis,Irvine,92618,2,3.0,1890,2022900.0,33.63988,-117.7432
22,20072864,765000.0,12987 Sproule Ave,Sylmar,91342,3,2.0,1259,779800.0,34.306095,-118.43698
23,16731058,3599000.0,7823 Calle Cima,Rancho Santa Fe,92067,6,5.0,4648,3476600.0,33.042053,-117.16553
24,20740128,3495000.0,1432 Kellam Ave,Los Angeles,90026,6,5.0,4179,3442300.0,34.07074,-118.25566
25,18989907,525000.0,7116 Jolynn St,Bakersfield,93308,4,3.0,2321,522800.0,35.424965,-119.08377
26,64793328,624999.0,33616 Magnetite St,Menifee,92584,4,3.0,2444,627400.0,33.633213,-117.14873
27,18979378,499900.0,28840 Gleneagle Ct,Tehachapi,93561,3,3.0,2052,496200.0,35.09124,-118.643234
28,63108548,559999.0,9305 Via Parma,Bakersfield,93312,3,3.0,3129,556700.0,35.411762,-119.10564
29,21183759,2650000.0,4338 Heather Rd,Long Beach,90808,5,5.0,4553,2597900.0,33.837368,-118.13132
30,456581894,165000.0,2330 E Avenue J8 SPACE 245,Lancaster,93535,3,2.0,1680,166300.0,34.680588,-118.088135
31,83145004,800000.0,35192 Via Santa Catalina,Winchester,92596,4,4.0,2822,,33.61095,-117.10441
32,89166746,3300000.0,6197 Greenwood Pl,Etiwanda,91739,5,7.0,6468,,34.141506,-117.527214
